2021-04-21 16:20:03,884 [1] INFO  ZXClient.util.Tools - 销毁进程adb没有找到进程
2021-04-21 16:22:47,927 [17] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:22:47,927 [17] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:22:57,951 [8] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:22:57,951 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:23:07,990 [17] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:23:07,990 [17] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:23:17,924 [8] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:23:17,924 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:23:27,958 [17] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:23:27,958 [17] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:23:37,983 [15] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:23:37,983 [15] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:23:47,948 [8] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:23:47,949 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:23:57,958 [16] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:23:57,958 [16] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:24:07,989 [8] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:24:07,989 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:24:18,028 [17] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:24:18,028 [17] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:24:27,959 [15] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:24:27,959 [15] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:24:38,016 [16] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:24:38,016 [16] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:24:48,037 [17] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:24:48,037 [17] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:24:57,968 [8] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:24:57,968 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:25:08,012 [15] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:25:08,012 [15] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:25:18,055 [8] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:25:18,055 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:25:28,067 [16] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:25:28,067 [16] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:25:38,009 [17] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:25:38,009 [17] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:25:48,198 [16] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:25:48,198 [16] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:25:58,076 [15] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:25:58,076 [15] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:26:08,011 [17] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:26:08,011 [17] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:26:18,045 [15] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:26:18,045 [15] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:26:28,080 [16] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:26:28,080 [16] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:26:38,004 [15] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:26:38,004 [15] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:26:48,047 [16] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:26:48,047 [16] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:26:58,083 [17] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:26:58,083 [17] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:27:08,126 [17] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:27:08,126 [17] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:27:18,052 [16] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:27:18,052 [16] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:27:28,084 [8] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:27:28,084 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:27:38,122 [16] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:27:38,122 [16] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:27:48,153 [8] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:27:48,153 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:27:58,109 [16] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:27:58,109 [16] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:28:08,142 [15] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:28:08,142 [15] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:28:18,150 [16] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:28:18,150 [16] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:28:28,193 [15] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:28:28,193 [15] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:28:38,150 [8] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:28:38,150 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:28:48,164 [16] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:28:48,164 [16] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:28:58,189 [8] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:28:58,190 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:29:08,197 [16] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:29:08,197 [16] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 16:29:17,981 [1] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 16:29:17,981 [1] INFO  ZXClient.util.Tools - 销毁udp监听进程
2021-04-21 17:08:40,094 [1] INFO  ZXClient.util.Tools - 销毁进程adb没有找到进程
2021-04-21 17:08:40,113 [1] INFO  ZXClient.Program - 程序已启动
2021-04-21 17:08:46,948 [1] INFO  ZXClient.util.HttpUtil - http://192.168.1.199:8082/employeeLogin.action?cardnum=1&psw=49BA59ABBE56E057
2021-04-21 17:08:47,017 [1] INFO  ZXClient.util.HttpUtil - 请求结果：loginSuccess
2021-04-21 17:08:47,018 [1] INFO  ZXClient.LoginWindow - 登录结果：　loginSuccess
2021-04-21 17:08:47,092 [1] INFO  ZXClient.util.HttpUtil - http://localhost:9107/Login?UserID=1
2021-04-21 17:08:50,805 [10] INFO  ZXClient.util.Tools - 端口监听成功
2021-04-21 17:08:50,805 [10] INFO  ZXClient.util.Tools - 网络方式--心跳
2021-04-21 17:08:50,806 [13] INFO  ZXClient.util.Tools - 开始监听（UDP）评价器返回数据，端口：7791,True
2021-04-21 17:09:05,186 [9] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 17:09:05,186 [9] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 17:09:05,186 [9] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:09:09,415 [8] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 17:09:09,415 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 17:09:09,415 [8] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:09:19,328 [9] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 17:09:19,328 [9] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 17:09:19,328 [9] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:09:29,379 [9] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 17:09:29,379 [9] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 17:09:29,379 [9] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:09:39,416 [9] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 17:09:39,416 [9] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 17:09:39,416 [9] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:09:49,407 [9] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 17:09:49,407 [9] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 17:09:49,407 [9] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:09:59,442 [8] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 17:09:59,442 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 17:09:59,442 [8] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:10:09,474 [9] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 17:10:09,475 [9] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 17:10:09,475 [9] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:10:19,516 [8] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 17:10:19,516 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 17:10:19,516 [8] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:10:29,446 [8] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 17:10:29,446 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 17:10:29,446 [8] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:10:39,485 [9] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 17:10:39,485 [9] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 17:10:39,485 [9] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:10:49,514 [8] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 17:10:49,514 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 17:10:49,514 [8] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:10:59,456 [8] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 17:10:59,457 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 17:10:59,457 [8] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:11:09,486 [9] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 17:11:09,486 [9] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：
2021-04-21 17:11:09,486 [9] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:11:19,456 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：S95OK
2021-04-21 17:11:19,456 [8] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:11:19,456 [13] INFO  ZXClient.util.Tools - 评价器返回：S95OK
2021-04-21 17:11:19,932 [13] INFO  ZXClient.util.Tools - 评价器返回：S98OK
2021-04-21 17:11:19,932 [13] INFO  ZXClient.util.Tools - 连接评价器成功！
2021-04-21 17:11:20,032 [13] INFO  ZXClient.util.Tools - 评价器返回：S04OK
2021-04-21 17:11:20,032 [13] INFO  ZXClient.util.Tools - 登录成功!
2021-04-21 17:11:20,245 [13] INFO  ZXClient.util.Tools - 评价器返回：S04OK
2021-04-21 17:11:20,245 [13] INFO  ZXClient.util.Tools - 登录成功!
2021-04-21 17:11:29,564 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：S95OK
2021-04-21 17:11:29,564 [8] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:11:29,564 [13] INFO  ZXClient.util.Tools - 评价器返回：S95OK
2021-04-21 17:11:36,758 [1] INFO  ZXClient.util.HttpUtil - http://localhost:9107/SpeciallyCall?QueueNum=3
2021-04-21 17:11:38,760 [1] INFO  ZXClient.util.Tools - 3选呼结果:
2021-04-21 17:11:39,495 [13] INFO  ZXClient.util.Tools - 评价器返回：S95OK
2021-04-21 17:11:39,495 [15] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：S95OK
2021-04-21 17:11:39,495 [15] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:11:49,533 [13] INFO  ZXClient.util.Tools - 评价器返回：S95OK
2021-04-21 17:11:49,533 [9] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：S95OK
2021-04-21 17:11:49,533 [9] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:11:51,822 [13] INFO  ZXClient.util.Tools - 评价器返回：S94OK
2021-04-21 17:11:51,900 [1] INFO  ZXClient.util.Tools - 销毁udp监听进程
2021-04-21 17:14:15,654 [1] INFO  ZXClient.util.Tools - 销毁进程adb没有找到进程
2021-04-21 17:14:15,669 [1] INFO  ZXClient.Program - 程序已启动
2021-04-21 17:14:21,196 [1] INFO  ZXClient.util.HttpUtil - http://192.168.1.199:8082/employeeLogin.action?cardnum=1&psw=49BA59ABBE56E057
2021-04-21 17:14:21,240 [1] INFO  ZXClient.util.HttpUtil - 请求结果：loginSuccess
2021-04-21 17:14:21,240 [1] INFO  ZXClient.LoginWindow - 登录结果：　loginSuccess
2021-04-21 17:14:21,303 [1] INFO  ZXClient.util.HttpUtil - http://localhost:9107/Login?UserID=1
2021-04-21 17:14:25,007 [10] INFO  ZXClient.util.Tools - 端口监听成功
2021-04-21 17:14:25,007 [10] INFO  ZXClient.util.Tools - 网络方式--心跳
2021-04-21 17:14:25,009 [13] INFO  ZXClient.util.Tools - 开始监听（UDP）评价器返回数据，端口：7791,True
2021-04-21 17:14:33,579 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：S95OK
2021-04-21 17:14:33,579 [8] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:14:33,579 [13] INFO  ZXClient.util.Tools - 评价器返回：S95OK
2021-04-21 17:14:43,608 [9] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：S95OK
2021-04-21 17:14:43,608 [9] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:14:43,608 [13] INFO  ZXClient.util.Tools - 评价器返回：S95OK
2021-04-21 17:14:44,514 [10] INFO  ZXClient.util.Tools - UDP发送失败未将对象引用设置到对象的实例。
2021-04-21 17:14:53,648 [13] INFO  ZXClient.util.Tools - 评价器返回：S95OK
2021-04-21 17:14:53,648 [9] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：S95OK
2021-04-21 17:14:53,648 [9] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:15:03,689 [13] INFO  ZXClient.util.Tools - 评价器返回：S95OK
2021-04-21 17:15:03,689 [9] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：S95OK
2021-04-21 17:15:03,689 [9] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:15:13,617 [9] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：S95OK
2021-04-21 17:15:13,617 [9] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:15:13,618 [13] INFO  ZXClient.util.Tools - 评价器返回：S95OK
2021-04-21 17:15:23,647 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：S95OK
2021-04-21 17:15:23,647 [13] INFO  ZXClient.util.Tools - 评价器返回：S95OK
2021-04-21 17:15:23,647 [8] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:15:33,697 [8] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：S95OK
2021-04-21 17:15:33,697 [8] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:15:33,697 [13] INFO  ZXClient.util.Tools - 评价器返回：S95OK
2021-04-21 17:15:43,717 [9] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：S95OK
2021-04-21 17:15:43,717 [9] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:15:43,718 [13] INFO  ZXClient.util.Tools - 评价器返回：S95OK
2021-04-21 17:15:46,290 [13] INFO  ZXClient.util.Tools - 评价器返回：S94OK
2021-04-21 17:15:46,307 [13] INFO  ZXClient.util.Tools - 评价器返回：S05OK
2021-04-21 17:15:46,307 [13] INFO  ZXClient.util.Tools - 退出成功！
2021-04-21 17:15:46,307 [1] INFO  ZXClient.util.Tools - 销毁udp监听进程
2021-04-21 17:15:46,307 [14] INFO  ZXClient.util.Tools - 销毁udp监听进程
2021-04-21 17:15:50,519 [1] INFO  ZXClient.util.Tools - 销毁进程adb没有找到进程
2021-04-21 17:15:50,535 [1] INFO  ZXClient.Program - 程序已启动
2021-04-21 17:15:56,993 [1] INFO  ZXClient.util.HttpUtil - http://192.168.1.199:8082/employeeLogin.action?cardnum=1&psw=49BA59ABBE56E057
2021-04-21 17:15:57,032 [1] INFO  ZXClient.util.HttpUtil - 请求结果：loginSuccess
2021-04-21 17:15:57,032 [1] INFO  ZXClient.LoginWindow - 登录结果：　loginSuccess
2021-04-21 17:15:57,074 [1] INFO  ZXClient.util.HttpUtil - http://localhost:9107/Login?UserID=1
2021-04-21 17:16:00,735 [10] INFO  ZXClient.util.Tools - 端口监听成功
2021-04-21 17:16:00,735 [10] INFO  ZXClient.util.Tools - 网络方式--心跳
2021-04-21 17:16:00,737 [13] INFO  ZXClient.util.Tools - 开始监听（UDP）评价器返回数据，端口：7791,True
2021-04-21 17:16:09,331 [9] INFO  ZXClient.util.Tools - 发送心跳命令：S95E, 返回：S95OK
2021-04-21 17:16:09,331 [13] INFO  ZXClient.util.Tools - 评价器返回：S95OK
2021-04-21 17:16:09,331 [9] INFO  ZXClient.util.HttpUtil - http://localhost:9107/WCount
2021-04-21 17:16:09,837 [13] INFO  ZXClient.util.Tools - 评价器返回：S98OK
2021-04-21 17:16:09,837 [13] INFO  ZXClient.util.Tools - 连接评价器成功！
2021-04-21 17:16:09,866 [13] INFO  ZXClient.util.Tools - 评价器返回：S04OK
2021-04-21 17:16:09,866 [13] INFO  ZXClient.util.Tools - 登录成功!
2021-04-21 17:16:10,046 [13] INFO  ZXClient.util.Tools - 评价器返回：S04OK
